model,perturbation method,source split,original correct,perturbed failures,failure rate given original correct
bart,adjrel,matched,884,9,0.010181
bart,adjrel,mismatched,919,12,0.013058
bart,adjrel,overall,1803,21,0.011647
bart,passive,matched,884,79,0.089367
bart,passive,mismatched,919,90,0.097933
bart,passive,overall,1803,169,0.093733
bart,pp,matched,884,15,0.016968
bart,pp,mismatched,919,9,0.009793
bart,pp,overall,1803,24,0.013311
mlp,adjrel,matched,520,29,0.055769
mlp,adjrel,mismatched,579,20,0.034542
mlp,adjrel,overall,1099,49,0.044586
mlp,passive,matched,520,25,0.048077
mlp,passive,mismatched,579,27,0.046632
mlp,passive,overall,1099,52,0.047316
mlp,pp,matched,520,27,0.051923
mlp,pp,mismatched,579,32,0.055268
mlp,pp,overall,1099,59,0.053685
rnn,adjrel,matched,554,40,0.072202
rnn,adjrel,mismatched,628,50,0.079618
rnn,adjrel,overall,1182,90,0.076142
rnn,passive,matched,554,41,0.074007
rnn,passive,mismatched,628,48,0.076433
rnn,passive,overall,1182,89,0.075296
rnn,pp,matched,554,38,0.068592
rnn,pp,mismatched,628,47,0.074841
rnn,pp,overall,1182,85,0.071912
roberta,adjrel,matched,876,19,0.021689
roberta,adjrel,mismatched,914,24,0.026258
roberta,adjrel,overall,1790,43,0.024022
roberta,passive,matched,876,81,0.092466
roberta,passive,mismatched,914,92,0.100656
roberta,passive,overall,1790,173,0.096648
roberta,pp,matched,876,11,0.012557
roberta,pp,mismatched,914,10,0.010941
roberta,pp,overall,1790,21,0.011732
